Name,id_Number,row_Number,seat_Number,auditorium_Number,score,test_result
"Charles Lopez",87204199801125818,53,7,4,73.4755,False
"Charles Mcnally",23707199208163794,13,46,4,76.3594,False
"Charles Smith",41741201809122721,11,52,3,73.9678,False
"Charles Taylor",50348196812162799,41,10,2,76.2091,False
"Charles Wooster",67591194312176680,36,10,3,74.3187,False
"Charlie Vigo",57385197109108032,25,15,4,73.4755,False
"Charlotte Graham",21433198309123210,21,53,4,86.1957,True
"Charmaine Montoya",69047198902077771,61,23,2,76.1478,False
"Cheryl Allison",29198195506089504,16,20,5,72.7116,NULL
"Cheryl Campbell",45723198812098632,41,18,2,71.6361,False
"Cheryl Drake",34594199504298404,39,14,6,80.1817,False
"Chester Elliott",68227193910219864,32,44,4,65.3341,False
"Christa Gaddis",79814198006061213,25,40,6,71.9865,False
"Christina Beck",53846199007315313,27,29,3,73.4755,False
"Christine Pellett",84909193611296412,1,61,5,54.0708,False
"Christopher Bannerman",14637193508211375,31,44,1,73.4755,False
"Christopher George",18468197004133498,40,6,3,69.8657,False
"Christopher Good",78135194801319993,37,54,5,76.0475,NULL
"Christopher Tidwell",89024200106193594,52,6,4,77.6601,False
"Christopher Wright",39605201104191316,63,39,3,82.7859,False
"Clara Brown",82305194811239654,38,64,4,73.4755,True
"Clara Person",17752198308014465,30,4,4,74.7916,NULL
"Clarence Moore",21381194108126422,56,34,2,74.9184,False
"Clarence Sweatman",67789193807176937,56,21,3,66.9062,False
"Clark Ramirez",50386196207303218,36,62,2,78.8904,False
"Clyde Batson",82602196312052661,49,19,3,76.0697,False
"Colby Lyons",52901199101061942,58,2,2,83.1873,NULL
"Colleen Morrow",77296198407142524,47,14,6,78.1252,False
"Connie Barnes",21082195610114682,18,57,5,62.5647,True
"Connie Murphy",57607198307107478,35,55,3,73.4755,False
"Constance Fenderson",30469200209226902,3,43,5,65.1325,False
"Consuelo Fields",58747194707136603,9,50,5,69.8273,False
"Corinne Harry",69217195904104601,1,38,3,81.8805,NULL
"Craig Dibello",85173199003202555,3,61,4,73.4755,False
"Curt Bender",57077199207096871,43,27,2,73.4755,False
"Curtis Hansen",67101200307189302,41,1,3,89.9144,False
"Cynthia Garcia",55574198005319763,11,40,6,75.5013,NULL
"Cynthia Jacoby",96047196911191993,13,4,1,74.0196,False
"Cynthia Mitchell",64235195306056712,12,28,2,67.7568,False
"Cynthia Rosenstock",46589201903102832,54,42,2,72.0126,False
"Dana Skar",45687200507096873,53,31,4,83.6393,False
"Daniel Amick",66681195904212739,45,4,5,71.2769,False
"Daniel Dollar",70629201806141778,39,21,2,73.4755,NULL
"Daniel Ellington",73616198807102184,24,57,2,78.9718,False
"Daniel Homer",84277194605096187,1,63,4,69.5452,NULL
"Daniel Jacobson",58168196902059227,53,1,1,72.6724,True
"Danielle Garcia",32926195606157411,10,20,2,60.8477,False
"Danielle Grant",54381201304184410,24,55,5,74.6096,False
"Danny Lenz",93175195307019616,23,39,1,76.9195,False
"Danny Scull",54724199011286704,23,44,5,73.4755,False
"Darrell Scott",23435200809105822,32,44,6,71.9389,False
"Darryl Iman",17179198805038708,33,34,5,75.2819,NULL
"David Abel",62098193409116541,28,56,2,58.3362,False
"David Clark",76874198004297812,35,40,6,78.6896,False
"David Conrad",19614193702089766,4,4,6,70.8589,False
"David Davis",78556199206272383,29,35,5,81.9442,False
"David Franklin",63264199307158261,1,53,6,72.4592,False
"David Gunter",50119195109223707,52,10,4,60.0843,NULL
"David Karr",30382193509174862,44,22,4,61.5635,True
"David Litteral",26191199110278798,52,31,3,88.8321,False
"David Lovelace",67951194007238046,41,61,4,61.9504,False
"David Pigford",37198201111239506,52,43,1,83.0431,False
"David Scheunemann",85231198105249108,30,47,2,75.6878,False
"David Theroux",79914195911255444,9,33,4,74.6019,NULL
"David Weidman",24132194601266796,26,9,5,71.7345,False
"Dean Long",34857198908289944,42,61,2,90.3423,False
"Dean Rodriguez",83653196711116908,59,43,3,82.3105,False
"Debbie Boyer",47231197012258316,15,10,2,80.1609,False
"Deborah Cruz",96408199606181814,43,38,5,93.1298,False
"Deborah Sandmeier",89297199205191282,17,62,2,86.3869,NULL
"Deborah Unruh",58344201503261860,20,35,1,71.3915,False
"Debra Cyr",76022201004222987,50,55,3,71.9346,False
"Debra Duguay",81987193707162093,34,47,4,61.6884,False
"Debra Foster",17609198501274640,2,31,1,80.545,NULL
"Delores Arana",93525200611216075,48,23,2,83.0606,False
"Demetrius Edgington",55166195312288981,53,56,6,70.7188,False
"Demetrius Goodsite",35019195306143796,8,16,4,75.7323,False
"Dennis Burrell",81179199005188012,18,36,4,87.824,False
"Dennis Crawford",95659200111162197,15,51,6,77.0768,False
"Derek Stevens",94355198702125021,27,48,4,78.9368,NULL
"Diana Greene",20293199610063523,58,42,2,73.4755,False
"Diane Faltus",46147193301248305,45,29,1,57.223,False
"Dominga Godwin",88809193911301685,20,23,6,69.1858,NULL
"Donald Blair",76424195609256773,62,45,3,61.8375,False
"Donald Cline",98011193003096643,60,11,4,65.3167,False
"Donald Coutts",24539194609089943,35,24,4,58.6953,False
"Donald Owens",72061198306245889,26,2,5,78.3191,NULL
"Donald Pennisi",21470193703187590,30,15,4,68.1258,False
"Donald Price",35858193910186270,23,7,6,65.3585,NULL
"Donald Schaefer",88810195910049886,3,34,1,72.8881,False
"Donna Bryant",19578201205202377,13,44,6,81.8137,False
"Donna Carter",87664194011056055,50,2,1,73.4755,False
"Donna Eakes",72489194111124736,18,2,1,61.6629,False
"Donna Edwards",58964201708084161,26,29,1,70.6158,NULL
"Donna Robinson",55333197806223395,17,11,1,80.1046,False
"Donna Schmidt",48984195904243623,4,21,2,72.5111,False
"Dora Mulvaney",79632194902236727,25,52,2,66.7852,False
"Doris Murphy",82671193707202106,24,54,3,63.6658,False
"Dorothy Emerson",40130199010302473,10,32,3,74.7649,NULL
"Dorothy Fowler",17048193110296500,13,43,6,73.2663,False
"Dorothy Hammett",65463199904224590,23,28,2,83.9492,False
"Dorothy James",16024200205307139,33,17,4,73.9127,False
"Dorothy Parker",57374195903014358,23,49,6,77.2072,False
"Dorothy Solari",55496193008181888,25,16,6,73.4755,False
"Dorothy Stites",33204202004276310,35,56,2,82.618,False
"Dorothy Strain",82105197605199404,4,50,3,85.4136,False
"Dorothy Weidman",41305194003143968,9,26,5,68.8745,False
"Douglas Hansen",51243197803244805,10,29,3,64.2253,NULL
"Duane Meriwether",73266199007286762,40,11,2,73.4755,NULL
"Earl King",87620201501273282,24,61,4,77.6145,False
"Earnest Davis",29282200308037227,39,28,5,88.9079,False
"Eddie Corey",83076196108285038,49,52,6,71.2844,NULL
"Edith Handy",85015199406138290,10,33,3,79.1944,NULL
"Edward Cromartie",65332194410314675,36,57,4,60.2659,False
"Edward Lefever",45261196902194489,27,6,4,72.3224,False
"Edward Smith",91098197106301995,51,18,4,73.4755,NULL
"Elaine Whitford",21157198804191517,37,51,6,82.2592,NULL
"Elias Bryant",15412194204072419,48,6,4,67.3738,NULL
"Elijah Gee",39290196806252061,28,51,5,74.6503,False
"Elizabeth Bonner",13005199401163524,4,34,1,91.0074,NULL
"Elizabeth Crump",40761199403185082,10,23,1,81.7485,False
"Elizabeth Michl",23602197512238022,15,33,1,71.1047,False
"Elizabeth Seddon",61232198503063490,3,12,6,79.6384,NULL
"Elizabeth Smith",26767200205188519,24,5,1,80.6451,False
"Elizabeth Smith",63303193705198323,59,52,3,61.7331,NULL
"Ella Hayes",17289199210058043,31,51,5,88.0217,True
"Ella Keane",91510198604163910,34,48,4,85.1154,True
"Ella Numbers",22216194608114886,39,15,2,69.5675,False
"Elmer Mullins",43867201701092717,10,12,1,73.4755,False
"Eloise Mulvey",25862201805209351,40,14,3,85.6738,False
"Elsie Augenstein",37051196505204886,32,61,5,85.0313,NULL
"Elsie Watts",25562194604144107,45,5,3,65.3781,False
"Emilia Wakefield",70811197504174981,53,33,2,84.3648,False
"Emmitt Mundell",91309197509207431,30,61,4,78.5096,NULL
"Eric Alexander",21749193111285764,33,32,3,55.6408,False
"Eric Collins",17386199804203476,9,61,5,85.5319,NULL
"Eric Elvin",59557198006059600,24,5,4,79.5716,NULL
"Eric Roughton",28891200511022082,45,38,3,67.1049,False
"Erica Bauer",41202197010213339,10,41,3,55.2258,False
"Erica Caldwell",91098195511109140,8,10,5,73.4755,False
"Erica Gates",67600195802249479,22,10,6,73.8958,NULL
"Erich Findley",83161193605052059,7,15,3,49.2009,False
"Erik Numbers",21796194307151104,21,45,6,72.5354,NULL
"Erin Covington",85364197308146381,42,50,6,72.4494,False
"Ernest Carver",66815194202206163,35,53,3,73.4755,NULL
"Esther Chavez",25929200407265495,34,55,3,84.3814,False
"Esther Sulley",89748199505162435,17,58,2,73.4755,NULL
"Ethel Jones",32355201011276977,44,16,1,73.4755,NULL
"Eugene Mcmillian",49548201907062795,49,38,6,62.9345,False
"Eula Kelley",55114195508284567,11,19,2,67.4166,False
"Eunice Liptrot",12349202004067133,62,4,3,78.8975,False
"Eva Money",21087200304162807,28,6,3,84.6424,False
"Evan Austin",40096199305116424,39,5,6,83.3196,False
"Evelyn Barnhill",57531200304093077,19,10,2,83.8435,False
"Evelyn Greenfield",77446198104018675,16,24,4,68.4376,False
"Faye Gonzales",45306193807222110,41,40,1,49.5005,False
"Florence Starzyk",92124198601262993,54,38,6,75.159,NULL
"Fonda Sepulveda",17870196305224466,6,28,2,72.4457,False
"Frances Hobbs",58975194510049100,48,20,4,64.8977,True
"Frances Owen",35313197607221728,54,39,4,74.3552,NULL
"Francisco Denton",48996198503278376,47,1,1,77.8684,NULL
"Frank Eads",74099195109254624,37,13,4,80.6202,False
"Frank Heim",32124196903062914,48,28,5,83.0788,False
"Frank Moore",14144194603032762,55,56,3,72.6223,False
"Frank Portugal",93677197811307464,30,13,3,79.7601,True
"Frank Robinson",27460193310237058,63,55,3,69.4626,NULL
"Frederick Smith",75783198701184915,10,26,2,69.8685,False
"Gabriel Bauer",90955196509177409,50,11,1,79.713,False
"Gail Anderson",41375196801146385,23,11,5,73.4755,NULL
"Gail Hernandez",38878194612033276,15,39,5,62.2275,NULL
"Garrett Rivera",91352201707039651,49,23,6,68.768,NULL
"Gary Boles",28646198601193449,40,34,1,85.9391,False
"Gary Obrien",95436200706131875,15,25,1,78.8512,False
"Gary Thompson",52402200106107914,22,44,4,79.7641,False
"George Chapman",64092201312287548,50,42,2,83.8554,False
"George Powell",11646193307297264,54,45,6,62.9575,NULL
"Geraldine Sims",75432193105138525,54,49,3,61.4847,False
"Geraldo Hernandez",26572194301216311,45,23,3,70.5851,False
"Geraldo Lunsford",11069195506016828,52,18,1,74.6249,False
"Gerard Joiner",81668197607252675,36,49,5,78.1717,NULL
"Gilbert Gallo",70440194106188567,51,24,3,63.3337,False
"Gladys Swinney",57687195512217359,62,22,3,53.3685,False
"Glenn Filthaut",81789195610147417,58,29,1,69.1255,NULL
"Gloria Czarnota",94968195308216766,41,27,6,59.0613,False
"Grace Motta",44450197005045853,35,34,4,63.1621,NULL
"Grady Black",77599196511075651,24,59,2,79.6291,False
"Grant Jenkins",84357196106231228,26,10,6,75.6278,False
"Gregg Humphreys",48754200606295142,15,16,6,68.5209,False
"Gregorio Rhodes",66254194306197680,43,29,5,64.6396,False
"Gregory Roberts",34550197408126852,50,12,6,62.8393,False
"Greta Beatty",45523193103033060,56,22,4,68.9883,False
"Guadalupe Szerszen",98197196102195917,42,24,6,70.9331,False
"Harold Boykin",94360196010104393,9,54,5,66.8618,False
"Harry Hopkins",57850194804018145,11,43,5,60.7549,False
"Harry Olmsted",12396197210117656,1,50,2,75.4961,False
"Harry Pruden",71104195708251625,21,49,6,75.3657,False
"Harvey Mercado",71107194011204483,53,9,2,59.0925,False
"Hazel Price",35826196606013562,20,36,1,69.673,NULL
"Hazel Tuttle",35905196312279832,37,8,5,64.8568,NULL
"Heather Marti",30949197503099889,9,37,3,63.0215,True
"Heather Mccalley",48844194010033519,47,6,5,63.4991,False
"Hector Fortier",28984199208036590,42,8,2,88.0773,False
"Hector Reffett",43616193705268467,46,23,3,73.4755,False
"Heidi Silveri",28951194901184823,53,6,4,74.012,NULL
"Helen Aucoin",79077193103215619,21,31,4,60.9356,False
"Helen Bell",82472195201294949,40,21,3,78.0325,False
"Helen Hatch",40559195401175737,32,49,4,73.6127,False
"Helen Nelson",66629201201182168,47,52,2,80.8547,NULL
"Helen Schein",58258199212141239,46,48,3,87.7307,False
"Henry Birmingham",18359195603168356,44,37,1,72.0616,NULL
"Henry Glancy",96376193002078434,27,12,2,71.1081,True
"Henry Robinson",55701195309278435,1,8,1,77.9039,False
"Herbert Langley",51456200301209491,20,19,4,80.0249,True
"Hong Bell",57281197208233593,3,35,6,71.5044,False
"Houston Stephens",93536197011022854,52,10,2,73.8866,NULL
"Howard Rodgers",40801199009049855,12,2,5,86.6989,False
"Hugh Brown",66708196211123985,9,58,5,68.7968,NULL
"Ida Huynh",78994197002124898,4,21,1,89.2676,False
"Ingrid Doane",70844196301099208,31,4,5,56.4064,False
"Ingrid Whelchel",27382200702028748,17,3,6,82.9437,False
"Irene Hayes",46882195112095248,3,29,1,51.0897,False
"Irish Loffler",19225195710044250,19,36,6,70.0927,False
"Isaac Vaught",74798197412283471,7,23,6,73.2407,False
"Isabella Torres",32003200212192856,18,14,3,73.4755,False
"Jackson Filipponi",36773195607246126,37,3,6,73.4755,False
"Jacob Moses",66168196703161840,9,41,2,70.608,False
"Jacqueline Hannon",34908193103107022,63,42,3,56.5367,NULL
"Jacquelyn Johnson",85553198002082366,42,42,5,70.1297,False
"Jacquelyn Pate",97004195403024723,42,36,1,70.6472,NULL
"Jaime Viveros",20896194403292128,11,25,3,73.2471,False
"James Bartell",35193194209162885,4,10,5,72.0688,NULL
"James Burkhead",41324193812204656,46,12,5,65.1266,False
"James Cahill",44697194008106021,17,8,2,73.4755,True
"James Childress",99977199704047541,27,26,2,73.4755,False
"James Clark",69320196410261315,15,48,3,73.4755,NULL
"James Clark",93694195409031356,49,12,5,76.7737,True
"James Gaddis",85272194802201299,19,18,1,57.2802,NULL
"James Garza",63339194607029071,41,46,2,59.8793,False
"James Gill",29365198810064650,19,56,2,82.7408,False
"James Grace",11477200306025083,47,1,2,74.6588,False
"James Grennan",81627195911034099,8,36,6,70.8875,NULL
"James Gunn",32395198312045115,51,5,2,84.0201,NULL
"James Mccallion",64159195802257281,47,57,2,59.8364,NULL
"James Morris",73610197005022418,11,57,5,68.8379,NULL
"James Nick",25837200607153935,10,16,6,73.4755,False
"James Pellicone",82873198610178903,20,14,5,71.1933,False
"James Renaud",71310199007061131,30,25,2,80.1505,NULL
"James Richardson",20648194810149059,7,14,6,69.5766,False
"James Rivera",86628199610262495,42,16,6,84.9888,False
"James Rodriguez",88384197803198146,4,47,3,86.2858,False
"Jamie Bradshaw",92883196609101654,2,56,5,73.7317,False
"Jane Webber",43449199409101666,9,47,2,82.6205,True
"Janell Tyler",34415201103258596,42,25,4,85.5546,False
"Janet Knudsen",95723198811249085,23,52,5,75.3567,False
"Janet Smith",39513200210116395,46,38,5,67.5798,NULL
"Janet Wright",26085194007248143,38,31,1,64.881,False
"Janette Gaudet",29027195403038374,47,8,2,64.3987,False
"Jared Johnson",97254197902012401,5,8,1,84.4161,False
"Jason Barton",15922195311121377,15,2,2,70.9128,False
"Jason Joy",42027193007078561,30,50,4,64.165,False
"Jay Lemmon",83437196809208954,49,1,4,66.3689,False
"Jean Botsford",98562199611209238,41,2,4,82.0448,NULL
"Jeanette Carmona",92083195102265812,27,32,4,64.6253,False
"Jeanette Pumper",82061199701038867,31,19,2,89.8711,False
"Jeanie Jiggetts",53250193412292495,59,12,2,63.7509,False
"Jeanne Roberts",69410197112016988,50,12,1,88.2093,False
"Jeffery Dalton",17281194506111733,7,40,2,66.7892,False
"Jeffrey Egan",19746199004277941,29,9,5,73.4755,False
"Jeffrey Marc",54949198305162002,3,49,4,73.4755,False
"Jeffrey Pope",37602198610019473,7,19,6,81.509,False
"Jenifer Davis",66419196602216981,39,50,3,71.4012,False
"Jennie Truxler",92810197905095432,40,21,6,85.9182,False
"Jennie Watson",74954194712274839,29,22,6,73.4755,False
"Jennifer Alexander",34432197503207684,53,19,6,73.4755,False
"Jennifer Griffith",89761200311195888,6,33,1,67.8942,False
"Jennifer Lanham",58914198407083411,10,56,5,71.4731,False
"Jennifer Lichlyter",12636193109064569,29,19,4,63.328,NULL
"Jennifer Mcmillan",95350201007224059,24,26,2,60.0159,False
"Jennifer Tesch",66593199007246763,58,6,3,73.4755,False
"Jeremiah Holtmeier",35199200407145483,3,20,1,81.0778,False
"Jerry Cohen",69250194805208990,49,9,1,68.7779,False
"Jerry Lewis",14426193812279920,55,32,6,73.4755,NULL
"Jerry Ray",44868197908115792,44,29,4,66.1664,False
"Jerry Stackhouse",66765197310122727,12,49,3,82.592,NULL
"Jess Bishop",70463195906089379,13,22,4,73.8979,False
"Jessica Banks",68285201712177033,52,54,4,76.5758,True
"Jessica Hall",43352196803308064,59,5,2,82.6896,True
"Jewell Hansen",92730200008159015,6,55,3,89.7561,False
"Jill Stein",35401198209179869,24,40,5,73.4755,NULL
"Jo Epps",92986199707276744,29,46,4,73.4755,False
"Jo Jackson",79556193612288760,38,36,6,69.7043,False
"Jo Rustrian",88134198709173638,1,49,5,79.0664,False
"Joan Acuff",28516200206268215,18,11,3,86.7675,False
"Joan Stewart",54492197908158138,21,21,6,90.4167,False
"Joe Hopkins",81671198103046178,10,61,4,76.6085,False
"Joe Kono",46584193610252378,19,23,5,58.0481,True
"Joe Navarro",89175197308223256,48,14,2,81.0087,NULL
"Joetta Lewis",72174199903226581,42,27,5,87.1227,True
"John Briel",92297201208238849,52,34,1,82.8141,NULL
"John Conigliaro",16150202004122540,49,22,6,73.4755,False
"John Crandell",61143201812226140,41,24,6,68.0981,True
"John Davis",59924195705035417,48,13,4,73.4755,NULL
"John Dennison",98652200801297664,38,11,6,70.8367,False
"John Donovan",48151196511234738,24,34,5,63.4059,False
"John Edens",96070196506299828,47,14,4,70.6331,True
"John Evans",69270195008126811,20,56,3,64.1198,False
"John Finch",71698193403302928,14,50,6,57.5004,False
"John French",85381193106065690,24,52,5,73.4755,NULL
"John Gandhi",69802193907272507,46,36,3,49.2463,True
"John Jones",57793200402023159,7,39,2,81.7729,False
"John Jones",11172200305231691,54,52,4,91.827,False
"John Kierzewski",98195194801281263,55,54,3,66.0958,False
"John Knight",80820195009041149,16,16,1,73.4755,False
"John Lockridge",42952201608311274,17,1,5,73.4755,NULL
"John Morales",63133199102111800,10,26,3,86.4843,False
"John Nichols",62444193604293184,35,57,5,61.3079,False
"John Poulsen",34589198004165040,19,7,5,77.5507,False
"John Tackett",43668199603158193,25,2,6,85.6682,False
"John Ulberg",89483200212028883,23,43,3,81.9228,False
"John Vandermark",50191201906064736,28,39,6,74.1469,False
"John Ventura",28682201008164622,51,48,3,78.9574,False
"Johnathan Jarrell",66603194906305297,44,14,2,67.389,NULL
"Johnnie Caruso",94081200302083664,60,16,6,73.4755,True
"Johnny Brown",10574199802157501,31,31,4,73.4755,True
"Jon Blaser",35798199606021275,27,49,6,73.4755,False
"Jon Williams",45042193402145337,26,5,4,73.4755,True
"Jonathan Briggs",80105201311244231,29,2,3,73.4755,False
"Joni Martin",84033200204197930,31,36,6,83.954,True
"Josefina Roberts",80254201612214119,18,38,6,72.4456,NULL
"Joseph Barber",71351193310287383,34,55,4,67.0588,NULL
"Joseph Cromwell",65819200903242112,52,45,4,77.0381,NULL
"Joseph Davis",25333197810196325,5,42,4,76.868,False
"Joseph Fox",81283196108154687,6,4,3,73.2112,False
"Joseph Goodman",81910198609214401,17,50,5,70.0655,False
"Joseph Hibbard",16916199304199338,26,17,4,86.0784,False
"Joseph Lentz",47815199205022842,8,37,5,87.5286,False
"Joseph Plummer",62283197304198596,38,27,3,79.492,False
"Joseph Taylor",31336200302276516,42,39,6,83.7454,NULL
"Joseph Wong",59752200204017483,12,41,6,72.7216,False
"Josephine Goins",95948200012165387,48,34,1,76.7657,False
"Josette Perrotti",75074201203016423,17,49,3,76.2025,False
"Joshua Corbo",71282196405254762,55,38,2,76.2593,False
"Joyce Zdenek",40415201909167478,51,18,6,77.1922,NULL
"Juan Bailey",22240195307039398,5,26,2,70.7498,False
"Juan Brooks",53778198104266737,34,52,2,57.5166,False
"Judith Boland",67121199901036869,44,35,3,82.6432,False
"June Malone",62034201308301595,24,30,2,84.4121,False
"Justin Morris",74231196305094234,9,34,3,78.0453,True
"Justine Musick",96611199201237660,31,25,3,90.7395,NULL
"Karen Agrela",82812197106238801,46,57,4,73.4755,False
"Karen Bloch",98098197107202373,12,33,6,64.2809,False
"Karen Lee",17324201502059047,61,8,6,88.7789,False
"Karen Mercer",97291196611253408,33,26,6,76.194,False
"Karen Watts",14582193206272668,31,43,3,56.2885,False
"Karen Zimmerman",25723196607224367,9,7,4,66.8671,NULL
"Karie Peck",40973195504291103,21,30,3,64.3665,False
"Kate Decker",83263197208263973,21,57,5,74.051,False
"Katherine Bridges",95483200304119475,22,58,4,80.8232,False
"Katherine Davis",27175193102272907,37,43,2,69.0053,False
"Kathleen Bowers",70502198010081876,29,33,3,78.6285,False
"Kathleen Bratchett",68572199309289592,20,49,6,82.1097,NULL
"Kathleen Foulkes",98148197011201622,26,22,2,76.3509,False
"Kathleen Ogami",43484194808195221,14,2,4,63.6767,False
"Kathryn Tuttle",56907195309163182,7,4,2,75.2262,False
"Kathy Bynum",55854194501185072,31,24,3,69.5944,False
"Kathy Maynard",55796197709173135,25,12,6,73.4755,False
"Katie Jones",54405199612038315,22,48,6,83.7012,False
"Katrina Flores",42182194004294627,9,39,5,69.0705,False
"Keith Kauffman",71678193802072174,54,36,4,73.4755,NULL
"Kelly Kusuma",28109193311092996,50,49,5,61.3823,NULL
"Kenneth Roberts",57801195601114974,34,10,2,67.2295,NULL
"Kenneth Stevens",70882201702215890,27,11,3,67.0652,False
"Kenneth Wester",60048201304124980,15,1,5,73.4755,False
"Kerry Dial",45936194109102107,36,56,3,62.7098,False
"Kerry Wixon",31609197912112399,18,41,1,79.7576,NULL
"Kevin Anderson",31660200110035104,23,15,5,81.9205,False
"Kevin Dugan",26024201808158192,18,27,1,56.9942,False
"Kevin Fennell",45893200002069058,53,45,6,84.5379,False
"Kevin Griffin",21971193710027815,55,28,6,65.776,False
"Kevin Liew",91654193505217341,55,19,6,73.4755,False
"Kevin Newton",29791194510243439,3,39,5,70.8473,False
"Kevin Phinney",77897197003084153,36,6,1,68.7189,False
"Kevin Reeves",83489201012094965,32,21,4,81.3354,False
"Kimberly Burkley",68634194706155540,38,57,3,65.9786,False
"Kimberly Jones",15176200009283831,44,26,4,81.8007,False
"Kimberly Perry",38470199904268990,49,56,5,82.7915,False
"Kimberly Purdy",90466193710152869,19,21,5,63.2009,False
"Kimberly Sanders",72308199601127023,58,25,2,85.3771,False
"Kirk Patterson",81223195103177482,10,56,4,65.914,NULL
"Kirk Pope",35188200906294799,49,59,5,74.9076,False
"Kristen Martin",48882196601124634,3,2,4,73.4755,NULL
"Kristi Cruz",56980194201302422,5,41,5,62.8856,NULL
"Kristi Johnson",15800197206292910,14,14,1,79.3277,True
"Kristi Stoker",28866196211224379,24,2,6,73.3807,False
"Krystal Dunlap",99639195611158527,23,51,6,57.9102,False
"Kurt Matthai",74010193105112875,38,27,6,64.6166,False
"Lana Eger",17511196904055175,7,7,6,72.8292,False
"Lance Flores",71639199909172369,40,39,1,91.9959,False
"Larry Eckhart",91566194712276184,35,31,2,65.3883,False
"Larry Maples",40600198303224429,42,11,5,78.2183,False
"Laura Button",52254199709074044,51,20,3,81.9041,False
"Laura Kemppainen",12432194110194858,64,36,2,79.414,NULL
"Laura Rodriguez",18673197203222895,32,33,3,71.0103,False
"Laura Simpson",62097196706161515,3,25,6,74.9314,False
"Laura Warden",61601200603103737,33,44,5,73.4755,False
"Laura Woodson",45069194508179377,61,7,4,67.0736,False
"Lauren Perry",47573195107099538,48,3,6,73.3325,False
"Lavonia Fox",34213196701207446,45,20,5,80.2468,False
"Lawrence Teed",43246193201087050,54,14,4,69.0825,False
"Leanna Phillips",83252196712311898,3,8,1,79.2731,False
"Lena Yost",17682198604131052,31,61,2,76.2211,NULL
"Leon Rehberg",89526195007299167,3,46,3,65.519,NULL
"Leroy Rumph",16358197803278756,58,1,6,73.0522,NULL
"Lillian Gallup",95417200811083846,26,31,3,78.2919,NULL
"Lillian Sellars",80985200007041918,27,1,3,93.6765,NULL
"Linda Flaherty",43391199606169318,15,32,5,82.9695,NULL
"Linda Heart",33341195202019130,58,40,3,68.1801,False
"Linda Nielsen",52387199704083120,29,3,1,76.9763,False
"Linda Parker",76235199902051755,58,26,3,83.3543,False
"Linda Patrick",94684198305017977,53,13,1,83.4461,False
"Linnea Bond",94169194604152642,47,11,4,79.6269,NULL
"Lisa Egbert",71740196711114894,8,24,6,78.2702,NULL
"Lisa Green",40867199806234406,32,47,2,77.9241,False
"Lisa Huizenga",63878197306026480,27,3,1,72.0059,False
"Lisa Randall",65131195010304084,46,35,1,61.8278,False
"Lisa Rodriquez",22524193603098197,33,36,3,61.7867,NULL
"Lizzie Bryson",31317193310132890,42,17,3,46.3994,False
"Logan Bayardo",44835193602113702,53,31,6,62.1458,False
"Lorraine Colston",85845201911308293,60,43,2,79.9996,False
"Louie Pettengill",30139199406185911,2,44,6,90.4212,NULL
"Louis Dukes",23895194212149269,15,39,2,73.4755,False
"Louise Williams",16325198302289918,13,36,2,85.8909,False
"Lucia Keys",20749200208017866,25,44,5,71.8519,False
"Lucille Mccreight",85666199304158044,37,15,1,72.5549,False
"Lucinda Houlihan",52454201105211012,53,26,6,88.6728,True
"Luis Lawson",37961196910169599,10,18,1,71.8507,False
"Luis Mcclurkin",26840198706093474,61,20,6,84.8647,False
"Lulu Greene",24920199705131935,8,24,4,74.9218,False
"Madeline Hites",62245195012161365,12,51,2,73.1349,False
"Madeline Servoss",23202198402089259,25,18,1,73.4755,False
"Mae Hall",83384194205106448,58,34,2,70.5673,True
"Magdalene Moxley",22918196905135579,36,4,3,69.7777,False
"Manuela Ortega",97983200801278847,11,29,4,79.9574,False
"Marcela Dafoe",76729193312144020,45,3,3,58.2802,NULL
"Marcia Mcwhorter",92215193304163361,62,12,2,54.2808,False
"Marcie Morris",85984201007046154,32,52,3,69.5362,False
"Marcus Davis",61108197106123757,47,36,1,79.3766,False
"Margaret Beddingfield",41924199907284377,30,9,2,71.0334,False
"Margaret Nozum",81334199611213680,40,49,2,73.841,False
"Margaret Roberts",24708195909289936,11,29,2,77.0061,NULL
"Margaret Rufino",50775197311217246,25,52,4,85.726,True
"Margaret Seever",35436201909243611,48,35,1,73.033,False
"Margie Mcwhite",38378198809025263,36,8,2,67.1138,False
"Maria Broder",56776195901078949,11,11,3,73.4755,False
"Maria Phillips",44867201406032914,32,13,1,81.5124,False
"Maria Schad",90691193411162872,29,21,3,67.883,False
"Marian Lajaunie",48089197006241686,49,57,4,70.2942,False
"Marian Moody",86279200405159979,32,54,4,75.1886,False
"Marianne Kutscher",49274199407308472,20,21,4,79.4725,NULL
"Maribel Aschenbrenner",69929195909026685,53,22,4,83.1898,NULL
"Marie Brown",49674201703135031,38,13,1,76.3165,False
"Marilyn Dang",78258194404295063,44,3,1,70.1451,False
"Marilyn Palmer",47159193005056508,39,50,2,72.4298,NULL
"Marion Jackson",24551201704285435,21,27,6,83.3996,True
"Marion Trujillo",89747195908129422,11,53,5,73.4755,False
"Mark Lane",38575195011304728,3,40,6,65.8872,False
"Mark Mclendon",80586199903179818,9,11,1,79.5947,NULL
"Marlene Triplett",71357197311104463,30,22,3,63.7818,NULL
"Mary Bakken",92133193903162212,9,37,5,61.9882,False
